txtFornecedor,vlrLiquido
COMERCIO DE COMBUSTIVEIS CIAVERDE LTDA,96.01
D E CERUTTI & CIA LTDA,100.06
FRATELLI POSTO DE COMBUSTIVEIS LTDA,50.0
JTM COMERCIO DE DERIVADOS DE PETROLEO LTDA,150.0
LESTE COMERCIO DE PETROLEO E DERIVADOS LTDA,168.04
LORIANA ANDRADE DA FONSECA,100.01
MATRIX POSTOS DE COMBUSTIVEIS LTDA ME,100.0
MQ DE ANDRADE LTDA,71.06
PETROLUZ CACERES AUTO POSTO LTDA,59.97
PODIUM COMERCIO DE PETROLEO LTDA,80.0
POSTO ITAMARATY LTDA,190.03
POSTO SÃO LUCAS,80.0
POSTO TABOCAO XVI LTDA,118.22
POSTO TERRA SANTA DE JUSSARA LTDA,155.02
QUEIROZ PARREIRA & CIA LTDA,100.0
QUEIROZ PARREIRA E CIA LTDA,180.03
Queiroz Parreira e Cia LTDA n.82159,198.51
RESTAURANTE DECK AVENIDA EIRELI,100.54
RIBANCEIRA COM DE COM E LUBRIFICANTES LTDA,100.0
RUSSI E RUSSI LTDA,100.03
SAO MATHEUS CUIABA AUTO POSTO LTDA,64.01
TICO TICO POSTO DE SERVICOS LTDA,99.99
ANTECIPAR CONSULTORIA E COMUNICAÇÃO ESTRATÉGICA LTDA,12500.0
ANTECIPAR CONSULTORIA E COMUNICAÇÃO ESTRATÉGICA LTDA,12500.0
ANTECIPAR CONSULTORIA E COMUNICAÇÃO ESTRATÉGICA LTDA,12500.0
ANTECIPAR CONSULTORIA E COMUNICAÇÃO ESTRATÉGICA LTDA,42900.0
MULTICOR IMPRESSOS INDUSTRIA COM E REPRESENTACOES LTDA,18900.0
MULTICOR IMPRESSOS INDUSTRIA COM E REPRESENTACOES LTDA,5200.0
MULTIPRESS IMPRESSÃO DIGITAL LTDA,30.25
WELIKIS GOMES AQUINO 61148159398,18500.0
GOL LINHAS AEREAS S.A.,1063.78
TAM LINHAS AEREAS S/A.,943.48
TAM LINHAS AEREAS S/A.,975.4
CELULAR FUNCIONAL,32.38
CELULAR FUNCIONAL,205.01
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,4.96
CELULAR FUNCIONAL,1053.0
CELULAR FUNCIONAL,15.35
CELULAR FUNCIONAL,892.88
CELULAR FUNCIONAL,0.42
CELULAR FUNCIONAL,1203.5
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,1101.17
RAMAL,4.12
RAMAL,83.59
RAMAL,97.22
RAMAL,93.89
RAMAL,109.28
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,4.6
CORREIOS - ENCOMENDA PAC,123.11
CORREIOS - ENCOMENDA PAC,401.83
CORREIOS - ENCOMENDA PAC,123.11
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,3.3
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,2.9
CORREIOS - SEDEX CONVENCIONAL,39.22
CORREIOS - SEDEX CONVENCIONAL,46.34
CORREIOS - SEDEX CONVENCIONAL,80.81
CORREIOS - SEDEX CONVENCIONAL,40.14
CORREIOS - SEDEX CONVENCIONAL,40.14
CORREIOS - SEDEX CONVENCIONAL,65.71
CORREIOS - SEDEX CONVENCIONAL,80.81
CORREIOS - SEDEX CONVENCIONAL,208.59
CORREIOS - SEDEX CONVENCIONAL,51.26
CORREIOS - SEDEX CONVENCIONAL,51.26
CORREIOS - SEDEX CONVENCIONAL,35.46
CORREIOS - SEDEX CONVENCIONAL,35.46
CORREIOS - SEDEX CONVENCIONAL,40.14
858 GRILL COMERCIO DE ALIMENTOS EIRELI,108.0
CONFRADE RESTAURANTE E CHOPERIA LTDA -EPP,124.0
FAUSTO E MANOEL PONTAO RESTAURANTE E CHOPPERIA LT,107.7
FAUSTO E MANOEL SUL RESTAURANTE E CHOPERIA LTDA,128.6
FAUSTO E MANOEL SUL RESTAURANTE E CHOPERIA LTDA,138.8
FAUSTO E MANOEL SUL RESTAURANTE E CHOPERIA LTDA,79.5
Girafas SBS,15.9
GT BAR E RESTAURANTE LTDA ME,38.88
N.F. AMARO EIRELI - ME (CORACAO MINEIRO),44.0
NAPOLITANA COMERCIO DE ALIMENTOS LTDA,145.0
OLIVIER - RESTAURANTE PEIXE NA REDE LTDA,68.53
OLIVIER - RESTAURANTE PEIXE NA REDE LTDA,75.8
PEIXARIA SABOR CUIABANO EIRELLI-ME,65.0
RESTAURANTE DECK AVENIDA EIRELI,75.9
RESTAURANTE MEATS GRILL EIRELI,70.94
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,56.98
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,30.61
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,26.8
SINUELO SUCOS E LANCHES LTDA-EPP,45.0
TIROL COMERCIO DE BEBIDAS E ALIMENTOS LTDA-ME,170.24
HOTEL - J.D.F. LTDA,136.5
HOTEL - J.D.F. LTDA,260.0
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,4.6
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,3.3
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,4.5
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,3.3
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
NACIONAL ESTACIONAMENTOS,13.0
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
SINPETAXI,60.0
Viação Xavante Ltda.,67.0
Viação Xavante Ltda.,132.17
Viação Xavante Ltda.,14.7
Viação Xavante Ltda.,76.7
Cia Aérea - AVIANCA,278.49
Cia Aérea - AVIANCA,281.95
Cia Aérea - AVIANCA,278.49
Cia Aérea - AVIANCA,281.95
Cia Aérea - AVIANCA,793.49
Cia Aérea - AZUL,568.85
Cia Aérea - AZUL,1163.39
Cia Aérea - AZUL,1218.85
Cia Aérea - AZUL,330.0
Cia Aérea - GOL,657.39
Cia Aérea - GOL,1113.39
Cia Aérea - GOL,943.39
Cia Aérea - GOL,709.39
Cia Aérea - GOL,1113.39
Cia Aérea - GOL,946.39
Cia Aérea - TAM,350.85
Cia Aérea - TAM,860.39
Cia Aérea - TAM,170.0
Cia Aérea - TAM,788.85
Cia Aérea - TAM,385.0
Cia Aérea - TAM,467.85
Cia Aérea - TAM,557.85
Cia Aérea - TAM,758.85
Cia Aérea - TAM,286.85
Cia Aérea - TAM,286.85
Cia Aérea - TAM,286.85
Cia Aérea - TAM,29.0
Cia Aérea - TAM,692.39
Cia Aérea - TAM,399.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,162.3
Cia Aérea - TAM,619.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,287.85
Cia Aérea - TAM,867.39
Cia Aérea - TAM,467.39
Cia Aérea - TAM,361.39
Cia Aérea - TAM,396.39
Cia Aérea - TAM,344.39
Cia Aérea - TAM,284.39
Cia Aérea - TAM,345.39
Cia Aérea - TAM,266.85
Cia Aérea - TAM,464.49
Cia Aérea - TAM,284.39
Cia Aérea - TAM,218.0
1-PAPELARIA ABC COMERCIO E INDUSTRIA LTDA,346.64
1-PAPELARIA ABC COMERCIO E INDUSTRIA LTDA,209.99
AMORETTO CAFES EXPRESSO LTDA,654.6
